Number_of_announcements,Number_of_announced_NLRI_prefixes,Maximum_AS_path_length,Average_edit_distance,Maximum_edit_distance,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
21,36,9,9,0.4,20,1,Normal
23,31,9,9,0.4,23,0,Normal
49,116,11,11,0.8,44,5,Normal
32,92,9,9,0.6,31,1,Normal
22,76,7,7,0.4,19,3,Normal
24,75,7,7,0.4,21,3,Normal
19,50,9,9,0.3,16,3,Normal
23,47,9,9,0.4,18,5,Normal
47,105,14,14,0.8,35,12,Normal
45,123,8,8,0.8,43,2,Normal
53,180,8,8,0.9,52,1,Normal
33,73,16,16,0.6,29,4,Normal
22,30,8,8,0.4,20,2,Normal
20,32,8,8,0.3,19,1,Normal
21,33,7,7,0.4,21,0,Normal
20,46,12,12,0.4,20,0,Normal
24,33,7,7,0.4,22,2,Normal
34,101,8,8,0.5,34,0,Normal
20,41,8,8,0.4,20,0,Normal
16,33,8,8,0.3,13,3,Normal
12,19,16,16,0.2,7,5,Normal
29,84,10,10,0.5,25,4,Normal
34,85,10,10,0.6,33,1,Normal
56,112,9,9,1,54,2,Normal
46,149,11,11,0.8,42,4,Normal
49,99,10,10,0.8,49,0,Normal
17,26,7,7,0.3,17,0,Normal
35,80,8,8,0.6,35,0,Normal
15,22,7,7,0.2,12,3,Normal
23,48,11,11,0.4,22,1,Normal
12,22,8,8,0.2,8,4,Normal
24,62,9,9,0.4,22,2,Normal
20,37,12,12,0.4,20,0,Normal
21,28,7,7,0.4,21,0,Normal
25,73,12,12,0.4,25,0,Normal
132,316,13,13,2.2,126,6,Normal
121,302,14,14,2.1,112,9,Normal
149,357,15,15,2.5,141,8,Normal
92,219,12,12,1.6,83,9,Normal
78,183,12,12,1.3,70,8,Normal
38,168,7,7,0.7,35,3,Normal
93,375,12,12,1.6,82,11,Normal
82,349,17,17,1.4,71,11,Normal
55,120,17,17,1,46,9,Normal
76,165,12,12,1.3,74,2,Normal
185,453,13,13,3.1,173,11,Normal
58,237,7,7,1,53,5,Normal
38,190,9,9,0.7,37,1,Normal
97,382,13,13,1.6,90,6,Normal
25,31,11,11,0.4,24,1,Normal
81,165,16,16,1.4,79,2,Normal
219,528,15,15,3.7,208,10,Normal
100,245,15,15,1.7,98,2,Normal
46,55,8,8,0.8,46,0,Normal
317,660,13,13,5.3,302,11,Normal
47,89,9,9,0.8,47,0,Normal
51,90,10,10,0.9,50,1,Normal
35,66,8,8,0.6,35,0,Normal
43,97,10,10,0.8,39,4,Normal
233,1029,11,11,3.9,210,23,Normal
23,74,11,11,0.4,18,5,Normal
227,1033,13,13,3.8,212,15,Normal
62,160,14,14,1.1,60,2,Normal
34,68,12,12,0.6,32,2,Normal
47,197,9,9,0.8,42,5,Normal
33,64,9,9,0.6,25,8,Normal
23,45,9,9,0.4,18,5,Normal
30,102,8,8,0.5,29,1,Normal
22,32,8,8,0.4,20,2,Normal
30,55,13,13,0.5,29,1,Normal
18,30,10,10,0.3,18,0,Normal
36,96,7,7,0.6,34,2,Normal
61,131,20,20,1.1,59,2,Normal
19,45,9,9,0.3,17,2,Normal
37,76,13,13,0.6,37,0,Normal
39,48,20,20,0.7,39,0,Normal
29,44,19,19,0.5,25,4,Normal
11,22,7,7,0.2,11,0,Normal
52,98,9,9,0.9,51,0,Normal
80,171,20,20,1.4,74,4,Normal
51,141,21,21,0.9,49,1,Normal
65,125,17,17,1.1,62,1,Normal
108,175,20,20,1.8,103,2,Normal
33,94,19,19,0.6,30,3,Normal
46,111,13,13,0.8,41,5,Normal
71,201,13,13,1.2,68,3,Normal
49,150,15,15,0.8,46,3,Normal
32,64,14,14,0.6,30,2,Normal
37,128,10,10,0.7,37,0,Normal
41,75,13,13,0.7,37,4,Normal
40,337,17,17,0.7,38,2,Normal
51,313,10,10,0.9,50,1,Normal
45,159,10,10,0.8,43,2,Normal
63,181,12,12,1.1,62,1,Normal
29,88,16,16,0.5,27,2,Normal
23,58,16,16,0.4,21,2,Normal
47,63,15,15,0.8,46,1,Normal
37,44,12,12,0.6,37,0,Normal
42,74,12,12,0.7,42,0,Normal
75,141,11,11,1.3,75,0,Normal
67,126,15,15,1.2,67,0,Normal
39,99,15,15,0.7,39,0,Normal
29,58,11,11,0.5,28,1,Normal
27,73,8,8,0.4,26,1,Normal
18,59,6,6,0.3,14,4,Normal
46,118,8,8,0.8,41,5,Normal
37,83,12,12,0.7,37,0,Normal
75,142,10,10,1.3,70,2,Normal
48,89,9,9,0.8,45,2,Normal
57,140,10,10,100,52,3,Normal
60,149,9,9,1,56,2,Normal
37,44,12,12,0.6,35,0,Normal
36,53,16,16,0.6,28,8,Normal
37,106,11,11,0.6,35,2,Normal
59,94,11,11,1.1,58,1,Normal
37,69,14,14,0.6,36,1,Normal
38,71,13,13,0.6,35,3,Normal
39,96,14,14,0.7,38,1,Normal
36,79,13,13,0.6,35,1,Normal
31,79,11,11,0.5,30,1,Normal
48,163,12,11,0.8,46,2,Normal
48,172,21,21,0.9,45,3,Normal
45,83,19,19,0.8,41,4,Normal
54,89,19,19,0.9,51,3,Normal
46,66,10,10,0.8,40,6,Normal
62,240,15,15,1.1,47,15,Normal
87,163,17,17,1.5,75,12,Normal
64,108,16,16,1.1,62,2,Normal
96,272,15,15,1.6,83,13,Normal
84,153,13,13,1.4,82,2,Normal
113,180,20,20,200,108,5,Normal
44,99,21,21,0.8,36,8,Normal
41,120,7,7,0.7,38,3,Normal
26,112,7,7,0.4,23,3,Normal
71,163,13,13,1.2,68,3,Normal
48,203,13,13,0.8,47,1,Normal
35,48,13,13,0.6,32,3,Normal
42,81,17,17,0.7,39,3,Normal
38,93,14,14,0.6,37,1,Normal
43,70,11,11,0.8,41,2,Normal
45,110,9,9,0.8,39,6,Normal
34,102,12,12,0.6,34,0,Normal
36,61,13,13,0.6,35,1,Normal
33,39,9,9,0.6,27,6,Normal
19,35,10,10,0.4,18,1,Normal
30,63,10,10,0.5,30,0,Normal
44,124,9,9,0.8,40,4,Normal
51,134,8,8,0.9,44,7,Normal
34,103,9,9,0.6,27,7,Normal
30,63,10,10,0.6,27,3,Normal
44,105,10,10,0.8,39,5,Normal
59,129,9,9,1,54,5,Normal
76,156,13,13,1.3,72,4,Normal
55,230,13,13,1,51,4,Normal
53,140,15,15,0.9,49,4,Normal
62,179,10,10,1.1,58,4,Normal
35,74,10,10,0.6,29,6,Normal
21,58,9,9,0.4,15,5,Normal
30,57,15,15,0.5,29,0,Normal
144,206,17,17,2.4,136,8,Normal
352,600,13,13,5.9,326,23,Normal
237,431,17,17,4,207,29,Normal
64,149,11,11,1.1,52,12,Normal
49,109,11,11,0.8,43,6,Normal
28,43,12,12,0.5,26,2,Normal
50,95,8,8,0.9,45,5,Normal
41,109,14,14,0.7,36,5,Normal
48,90,9,9,0.8,39,9,Normal
58,233,11,11,1,55,3,Normal
51,165,11,11,0.9,45,6,Normal
47,98,11,11,0.8,42,5,Normal
52,114,10,10,0.9,40,12,Normal
27,54,7,7,0.5,25,2,Normal
45,68,10,10,0.8,43,2,Normal
56,135,10,10,1,54,2,Normal
63,136,11,11,1.1,62,1,Normal
57,154,14,14,1,56,1,Normal
65,166,14,14,1.1,55,10,Normal
112,303,10,10,1.9,107,5,Normal
253,672,12,12,4.3,246,7,Normal
82,202,23,23,1.4,76,5,Normal
56,107,16,16,0.9,46,10,Normal
117,303,11,11,200,112,5,Normal
170,378,13,13,2.9,163,6,Normal
25,39,8,8,0.5,20,5,Normal
39,58,9,9,0.7,33,6,Normal
31,54,9,9,0.5,29,2,Normal
36,209,9,9,0.6,36,0,Normal
108,544,12,12,1.9,105,3,Normal
96,284,13,13,1.6,95,1,Normal
59,76,12,12,1,58,1,Normal
50,127,15,15,0.9,48,2,Normal
44,63,12,12,0.8,44,0,Normal
42,79,13,13,0.7,42,0,Normal
53,95,17,17,0.9,53,0,Normal
65,563,12,12,1.1,58,7,Normal
43,90,11,11,0.7,42,1,Normal
49,226,15,15,0.9,44,5,Normal
71,124,13,13,1.2,69,2,Normal
77,126,15,15,1.3,69,8,Normal
45,71,9,9,0.8,44,1,Normal
69,152,13,13,1.1,65,4,Normal
42,103,10,10,0.7,41,1,Normal
22,60,10,10,0.3,19,3,Normal
66,178,12,12,1.2,64,2,Normal
119,260,13,13,2,118,1,Normal
75,162,15,15,1.3,69,6,Normal
55,113,14,14,1,47,8,Normal
36,81,13,13,0.7,31,5,Normal
54,191,13,13,1,51,3,Normal
63,137,15,15,1.1,57,6,Normal
69,135,15,15,1.2,67,2,Normal
81,269,11,11,1.4,80,1,Normal
63,240,12,12,1.1,58,5,Normal
32,59,10,10,0.6,29,3,Normal
47,207,12,12,0.8,43,4,Normal
14,14,9,9,0.2,13,1,Normal
32,48,12,12,0.5,32,0,Normal
25,40,12,12,0.5,25,0,Normal
11,16,10,10,0.2,10,1,Normal
25,46,10,10,0.4,21,4,Normal
35,81,11,11,0.6,33,2,Normal
50,109,15,15,0.8,48,2,Normal
40,71,16,16,0.7,34,6,Normal
36,176,15,15,0.6,35,1,Normal
73,239,15,15,1.2,72,1,Normal
48,160,12,12,0.9,44,4,Normal
51,121,14,14,0.9,46,5,Normal
57,115,14,14,1,45,10,Normal
48,137,7,7,0.8,40,5,Normal
36,97,8,8,0.7,34,2,Normal
39,92,9,9,0.7,35,4,Normal
65,127,9,9,1.1,58,7,Normal
65,104,13,13,1.1,57,8,Normal
80,204,9,9,1.4,68,8,Normal
68,150,10,10,1.2,61,7,Normal
56,146,12,12,1,56,0,Normal
24,83,8,8,0.4,24,0,Normal
58,136,13,13,1,57,1,Normal
56,109,12,12,0.9,56,0,Normal
59,148,12,12,1,55,4,Normal
51,156,12,12,0.9,48,3,Normal
65,130,12,12,1.1,64,1,Normal
67,119,12,12,1.2,67,0,Normal
42,171,11,11,0.7,42,0,Normal
64,134,11,11,1.1,63,1,Normal
68,205,11,11,1.2,66,2,Normal
42,140,13,13,0.7,40,2,Normal
39,144,10,10,0.7,37,2,Normal
37,137,10,10,0.6,37,0,Normal
63,93,14,14,1.1,63,0,Normal
45,70,14,14,0.8,43,2,Normal
59,204,12,12,1,52,7,Normal
69,202,14,14,1.2,66,3,Normal
53,244,15,15,0.9,50,3,Normal
53,187,11,15,0.9,47,6,Normal
70,319,15,15,1.2,68,2,Normal
84,300,15,15,1.4,83,1,Normal
75,201,15,15,1.3,69,6,Normal
83,251,11,11,1.4,75,8,Normal
72,296,11,11,1.2,68,4,Normal
53,165,11,11,0.9,48,5,Normal
56,208,10,10,0.9,51,5,Normal
44,153,12,12,0.8,42,2,Normal
70,311,10,10,1.2,65,5,Normal
54,138,11,11,0.9,47,7,Normal
34,87,10,10,0.6,33,1,Normal
39,329,16,16,0.7,39,0,Normal
55,286,15,15,1,52,3,Normal
37,190,15,15,0.7,37,0,Normal
56,145,12,12,1,50,5,Normal
43,128,9,9,0.7,37,5,Normal
94,217,12,12,1.6,89,5,Normal
27,53,9,9,0.5,24,3,Normal
23,43,11,11,0.4,22,1,Normal
22,27,9,9,0.4,20,2,Normal
48,128,15,15,0.8,46,2,Normal
65,403,14,14,1.1,63,2,Normal
66,443,13,13,1.1,65,1,Normal
56,267,11,11,1,52,4,Normal
62,274,10,10,1.1,56,6,Normal
77,275,12,12,1.3,58,10,Normal
29,66,8,8,0.5,25,4,Normal
22,36,15,15,0.4,22,0,Normal
86,338,16,16,1.5,75,4,Normal
55,291,15,15,0.9,50,3,Normal
67,235,14,14,1.2,67,0,Normal
46,97,12,12,0.8,45,1,Normal
42,108,11,11,0.7,38,4,Normal
51,94,19,19,0.9,50,1,Normal
55,164,19,19,100,44,11,Normal
33,145,12,12,0.6,26,7,Normal
45,100,15,15,0.8,44,1,Normal
50,84,14,14,0.9,49,1,Normal
85,286,15,15,1.5,79,6,Normal
36,66,17,17,0.6,24,12,Normal
69,259,9,9,1.2,59,4,Normal
85,328,12,12,1.5,80,2,Normal
59,154,18,18,1.1,44,15,Normal
76,204,18,18,1.3,66,7,Normal
68,446,18,18,1.2,63,3,Normal
70,156,18,18,1.2,70,0,Normal
49,195,9,9,0.8,48,1,Normal
72,256,10,10,1.2,72,0,Normal
42,161,10,10,0.7,40,2,Normal
63,125,10,10,1.1,62,1,Normal
70,134,9,9,1.2,66,4,Normal
45,108,18,18,0.8,39,6,Normal
30,56,11,11,0.5,24,6,Normal
29,64,11,11,0.5,23,4,Normal
49,126,16,16,0.9,46,3,Normal
42,102,16,16,0.7,41,1,Normal
36,64,11,11,0.6,36,0,Normal
93,235,17,17,1.6,88,5,Normal
53,134,11,11,0.9,50,3,Normal
35,86,16,16,0.6,31,4,Normal
43,162,14,14,0.8,39,4,Normal
50,106,18,18,0.9,46,4,Normal
45,79,17,17,0.8,40,5,Normal
31,69,8,8,0.5,27,4,Normal
23,65,15,15,0.4,19,3,Normal
29,51,18,18,0.5,25,4,Normal
30,56,7,7,0.5,25,5,Normal
52,112,9,9,0.9,46,6,Normal
36,73,9,9,0.7,34,2,Normal
57,108,10,10,1,54,3,Normal
37,56,12,12,0.7,36,1,Normal
33,44,15,15,0.6,33,0,Normal
31,41,13,13,0.5,29,2,Normal
44,97,12,12,0.8,38,6,Normal
45,76,12,12,0.8,43,2,Normal
72,188,19,19,1.2,71,1,Normal
49,134,11,11,0.8,47,2,Normal
31,70,11,11,0.5,29,2,Normal
39,104,8,8,0.7,35,4,Normal
26,69,18,18,0.4,26,0,Normal
15,34,7,7,0.3,13,2,Normal
198,1010,12,12,3.3,196,2,Normal
1509,10421,19,19,25,1504,5,Normal
77,189,13,13,1.3,73,4,Normal
97,279,18,18,1.7,95,2,Normal
83,130,19,19,1.5,80,3,Normal
49,104,19,19,0.8,49,0,Normal
27,48,15,15,0.5,27,0,Normal
31,48,15,15,0.5,29,2,Normal
25,41,18,18,0.5,24,1,Normal
38,107,8,8,0.7,37,1,Normal
44,121,9,9,0.7,43,1,Normal
69,113,17,17,1.2,67,2,Normal
60,82,15,15,1.1,59,1,Normal
78,155,16,16,1.4,72,6,Normal
50,81,18,18,0.9,43,7,Normal
30,84,18,18,0.5,24,6,Normal
123,359,12,12,2.1,119,4,Normal
65,245,10,10,1.1,61,4,Normal
345,1328,14,14,5.8,334,11,Normal
61,139,10,10,1.1,61,0,Normal
187,1595,12,12,3.2,187,0,Normal
709,5509,16,16,11,709,0,Normal
157,549,19,19,2.7,148,9,Normal
113,703,11,11,1.9,108,5,Normal
301,982,19,19,5,279,12,Normal
64,150,18,18,1.1,59,5,Normal
66,182,10,10,1.1,65,1,Normal
85,189,14,14,1.5,85,0,Normal
49,219,9,9,0.8,48,1,Normal
43,69,16,16,0.7,43,0,Normal
236,1506,16,16,4,223,11,Normal
106,981,10,10,1.8,101,4,Normal
65,244,17,17,1.1,61,4,Normal
116,333,18,18,200,111,5,Normal
65,319,16,16,1.1,63,2,Normal
155,714,16,16,2.6,147,8,Normal
80,205,15,15,1.4,74,6,Normal
132,403,13,13,2.3,122,10,Normal
138,416,14,14,2.4,128,10,Normal
54,188,11,11,0.9,51,3,Normal
38,217,7,7,0.7,35,3,Normal
267,3286,14,14,4.5,265,2,Normal
161,482,16,16,2.7,158,3,Normal
703,3678,18,18,11,696,7,Normal
811,4088,16,16,13,806,5,Normal
43,94,9,9,0.8,40,3,Normal
35,50,8,8,0.6,33,2,Normal
140,418,13,13,2.4,131,9,Normal
146,515,14,14,2.5,134,12,Normal
136,339,17,17,2.3,130,6,Normal
133,281,17,17,2.3,123,7,Normal
70,140,10,10,1.2,63,7,Normal
138,302,13,13,2.3,134,4,Normal
90,257,14,14,1.5,82,8,Normal
84,179,9,9,1.4,81,3,Normal
56,124,11,11,1,51,5,Normal
66,134,15,15,1.1,64,2,Normal
95,182,13,13,1.6,91,4,Normal
132,247,11,11,2.2,128,4,Normal
117,244,10,10,2,113,4,Normal
47,158,11,11,0.8,44,3,Normal
52,123,9,9,0.9,44,8,Normal
61,129,9,9,1,61,0,Normal
72,144,14,14,1.2,71,1,Normal
304,834,14,14,5.1,295,9,Normal
94,285,15,15,1.6,91,3,Normal
100,259,11,11,1.7,97,3,Normal
110,332,11,11,1.9,107,3,Normal
141,386,12,12,2.4,136,5,Normal
66,198,13,13,1.2,64,2,Normal
70,288,13,13,1.2,66,4,Normal
58,176,15,15,1,52,6,Normal
66,215,12,12,1.1,66,0,Normal
104,276,11,11,1.8,100,4,Normal
124,369,9,9,2.1,118,6,Normal
85,157,9,9,1.4,78,7,Normal
101,208,11,11,1.7,93,8,Normal
74,127,9,9,1.3,69,5,Normal
70,264,11,11,1.2,70,0,Normal
126,505,13,13,2.1,119,7,Normal
93,193,15,15,1.6,90,3,Normal
122,287,13,13,2.1,117,5,Normal
59,137,14,14,1,55,4,Normal
55,154,13,13,1,54,1,Normal
63,243,11,11,1.1,61,2,Normal
523,2133,17,17,8.8,499,16,Normal
106,337,16,16,1.8,104,2,Normal
36,66,10,10,0.7,36,0,Normal
50,106,13,13,0.9,48,2,Normal
52,89,11,11,0.9,51,1,Normal
92,156,9,9,1.6,90,2,Normal
44,80,11,11,0.8,41,3,Normal
72,181,10,10,1.2,65,7,Normal
58,153,10,10,1,54,4,Normal
73,261,14,14,1.3,66,5,Normal
67,183,15,15,1.2,62,5,Normal
54,172,12,12,0.9,53,1,Normal
85,261,12,12,1.4,81,4,Normal
173,558,15,15,2.9,160,13,Normal
47,79,15,15,0.8,45,2,Normal
66,179,10,10,1.2,64,2,Normal
33,60,11,11,0.6,30,3,Normal
93,258,12,12,1.6,86,7,Normal
92,193,12,12,1.6,87,5,Normal
115,284,10,10,1.9,112,3,Normal
40,90,12,12,0.7,40,0,Normal
49,192,11,11,0.8,49,0,Normal
83,347,13,13,1.4,77,6,Normal
160,642,16,16,2.7,153,7,Normal
76,171,13,13,1.3,68,8,Normal
57,181,11,11,100,57,0,Normal
49,116,11,11,0.8,48,1,Normal
50,95,12,12,0.9,46,4,Normal
79,184,12,12,1.3,74,5,Normal
101,410,13,13,1.7,100,1,Normal
73,183,13,13,1.3,71,2,Normal
50,85,11,11,0.9,50,0,Normal
103,190,14,14,1.8,103,0,Normal
35,56,12,12,0.6,32,3,Normal
28,60,11,11,0.5,26,2,Normal
66,207,15,15,1.1,65,1,Normal
56,139,15,15,1,56,0,Normal
47,121,14,14,0.8,45,2,Normal
56,128,9,9,100,54,2,Normal
65,141,10,10,1.1,64,1,Normal
67,151,9,9,1.2,66,1,Normal
51,221,8,8,0.9,50,1,Normal
46,134,8,8,0.8,46,0,Normal
71,271,11,11,1.2,70,1,Normal
46,84,12,12,0.8,45,1,Normal
46,106,11,11,0.8,42,4,Normal
52,74,14,14,0.9,49,3,Normal
68,118,11,11,1.2,61,7,Normal
54,97,12,12,100,51,3,Normal
44,110,11,11,0.8,42,2,Normal
101,387,12,12,1.7,93,8,Normal
231,659,17,17,3.9,220,11,Normal
106,277,13,13,1.8,99,7,Normal
42,73,10,10,0.7,34,8,Normal
62,120,9,9,1.1,58,4,Normal
47,77,11,11,0.8,45,2,Normal
66,130,11,11,1.2,59,7,Normal
67,133,10,10,1.2,63,2,Normal
93,135,9,9,1.6,84,5,Normal
136,375,12,12,2.3,125,10,Normal
31,59,10,10,0.5,26,5,Normal
43,104,15,15,0.8,40,3,Normal
54,126,12,12,0.9,52,2,Normal
40,85,13,13,0.7,34,6,Normal
599,1479,13,13,11,564,34,Normal
4584,14357,15,15,76,4317,259,Normal
1467,3636,14,14,24,1388,79,Normal
24,28,13,13,0.4,21,3,Normal
133,499,15,15,2.3,120,13,Normal
149,596,15,15,2.5,134,15,Normal
73,268,16,16,1.2,70,3,Normal
207,681,16,16,3.5,181,26,Normal
106,345,16,16,2.9,98,8,Normal
4416,13502,16,16,73,4141,269,Normal
3858,10946,15,15,64,3649,204,Normal
110,272,12,12,1.9,107,3,Normal
122,331,12,12,2.1,117,5,Normal
115,355,15,15,200,105,10,Normal
121,398,11,11,2,111,10,Normal
88,199,17,17,1.6,86,2,Normal
76,128,16,16,1.3,73,3,Normal
580,1602,15,15,10,550,30,Normal
4436,14830,15,15,74,4162,265,Normal
63,94,11,11,1.1,63,0,Normal
53,80,11,11,0.9,53,0,Normal
